round_number,question_number,codebook_page,question,variable_label,values,value_labels,source,note
6,COUNTRY,3,Country,Country,1-36,"1=Algeria, 2=Benin, 3=Botswana, 4=Burkina Faso, 5=Burundi, 6=Cameroon, 7=Cape Verde, 8=Cote d'Ivoire, 9=Egypt, 10=Gabon, 11=Ghana, 12=Guinea, 13=Kenya, 14=Lesotho, 15=Liberia, 16=Madagascar, 17=Malawi, 18=Mali, 19=Mauritius, 20=Morocco, 21=Mozambique, 22=Namibia, 23=Niger, 24=Nigeria, 25=São Tomé and Príncipe, 26=Senegal, 27=Sierra Leone, 28=South Africa, 29=Sudan, 30=Swaziland, 31=Tanzania, 32=Togo, 33=Tunisia, 34=Uganda, 35=Zambia, 36=Zimbabwe",,Answered by interviewer
6,COUNTRY_R5List,3,Country,Country in R5 Alphabetical Order,1-37,"1=Algeria, 2=Benin, 3=Botswana, 4=Burkina Faso, 5=Burundi, 6=Cameroon, 7=Cape Verde, 8=Cote d'Ivoire, 9=Egypt, 11=Ghana, 12=Guinea, 13=Kenya, 14=Lesotho, 15=Liberia, 16=Madagascar, 17=Malawi, 18=Mali, 19=Mauritius, 20=Morocco, 21=Mozambique, 22=Namibia, 23=Niger, 24=Nigeria, 25=Senegal, 26=Sierra Leone, 27=South Africa, 28=Sudan, 29=Swaziland, 30=Tanzania, 31=Togo, 32=Tunisia, 33=Uganda, 34=Zambia, 35=Zimbabwe, 36=Gabon, 37=São Tomé and Príncipe",,Answered by interviewer
6,RESPNO,3,Respondent number,Respondent number,"ALG0001-ALG1200,BDI0001-BDI1200,BEN0001-BEN1200,BFO0001-BFO1200,BOT0001BOT1200,CAM0001-CAM1199,CDI0001-CDI1200,CVE0001-CVE1200,EGY0001-EGY1200,GAB0001-GAB1200, GHA0001-GHA2400,GHA2500,GUI0001-GUI1200,KEN0001-KEN2400,LES0001-LES1200,LIB0001LIB1200,MAD0001-MAD1200,MAU0001-MAU1200,MLI0001-MLI1200,MLW0001-MLW1200,MOR0001MOR1200,MOZ0001-MOZ2400,NAM0001-NAM1200,NGR0001-NGR1200,NIG0001-NIG2400,SAF0001SAF2400,SEN0001-SEN1200,SRL0001-SRL1200,STP0001-STP1200,SUD0001-SUD1200,SWZ0001-SWZ1200,TAN0001TAN2400,TOG0001-TOG1200,TUN0001-TUN1200,UGA0001-UGA2400,ZAM0001-ZAM1200,ZIM0001-ZIM2400",String variable,,Assigned by data managers
6,BACKCHK,3,Household back-checked?,Household back-checked?,1-2,"1=Yes, 2=No",,Answered by interviewer
6,URBRUR,3,PSU/EA,Urban or Rural Primary Sampling Unit,1-2,"1=urban, 2=rural",,Answered by interviewer
6,REGION,3,Region/Province,Province or region,"100- 111, 140- 163,180- 192, 220- 224, 260-269, 300- 307, 340-349,380- 394, 420- 441,460- 462, 501- 509, 540- 550, 580- 593, 620-656, 660-673, 700- 708, 740- 769, 780- 784, 820- 829, 860- 869,900- 909, 930-933, 11001107,1140- 1145, 1180- 1196, 1220- 1231, 1260- 1291, 1300- 1307,1420- 1428, 1460-1483,1500-1515, 15401545,1580-1603, 1620-1623, 1660-1661, 1700- 1708","100= Alibori, 101= Atacora, 102= Atlantique, 103= Borgou, 104=Collines, 105=Couffo, 106=Donga, 107=Littoral, 108=Mono, 109=Ouémé, 110=Plateau,111=Zou, 140=Barolong, 141=Central Bobonong,142=Central Boteti,143=Central Mahalapye,144=Central Serowe/Palapye,145=Central Tutume,146=Chobe,147=Francistown,148=Gaborone,149=Ghanzi,150=Jwaneng,151=Kgalagadi North,152=KgalagadiSouth,153=Kgatleng,154=Kweneng East,155=Kweneng West,156=Lobatse,157=Ngamiland East,158=Ngamiland West,159=Ngwaketse,160=Ngwaketse West,161=North East,162=Selibe Phikwe,163=South East, 180=Boucle du Mouhoun, 181=Cascades,182=Centre,183=Centre Est,184=Centre Nord,185=Centre Ouest,186=Centre Sud,187=Est,188=Hauts Bassins,189=Nord,190=Plateau Central,191=Sahel,192=Sud Ouest,220=S. Antao,221=S.Vincente,222=Santiago-Interior,223=Santiago-Praia,224=Fogo, 260=Western,261=Central,262=Greater Accra,263=Volta,264=Eastern,265=Ashanti,266=Brong Ahafo,267=Northern,268=Upper East,269=Upper West, 300=Nairobi,301=Central,302=Eastern,303=Rift Valley,304=Nyanza,305=Western,306=North Eastern,307=Coast, 340=Maseru,341=Mafeteng,342=Mohale's Hoek,343=Quthing,344=Qacha's Nek,345=Mokhotlong,346=Buthe-Buthe,347=Leribe,348=Berea,349=Thaba Tseka, 380=Bomi,381=Bong,382=Gbarpolu,383=Grand Bassa,384=Grand Cape Mount,385=Grand Gedeh,386=GrandKru,387=Lofa,388=Margibi,389=Maryland,390=Montserrado,391=Nimba,392=Rivercess,39 3=River Gee,394=Sinoe,420=Alaotra Mangoro,421=Amoron'i Mania,422=Analamanga,423=Analanjirofo,424=Androy,425=Anosy,426=Atsimo Andrefana,427=Atsimo Atsinanana,428=Atsinanana,429=Betsiboka,430=Boeny,431=Bongolava,432= Diana,433= Haute Matsiatra,434= Ihorombe,435= Itasy,436= Melaky,437= Menabe,438= SAVA,439= Sofia,440= Vakinankaratra,441= Vatovavy Fitonany, 460= Central,461= North,462= South, 501= Kayes,502= Koulikoro,503= Sikasso,504= Ségou,505= Mopti,506= Tombouctou,507= Gao,508= Kidal,509= Bamako, 540= Maputo Province,541= Maputo City,542= Gaza,543= Inhambane,544= Sofala,545= Tete,546= Manica,547= Zambézia,548= Nampula,549= Cabo Delgado,550= Niassa, 580= Zambezi,581= Erongo,582= Hardap,583= Karas,584= Kavango West,585= Kavango East,586= Khomas,587= Kunene,588= Ohangwena,589= Omaheke,590= Omusati,591= Oshana,592= Oshikoto,593= Otjozondjupa, 620= Abia,622= Akwa-Ibom,623= Anambra,624= Bauchi,625= Bayelsa ,626= Benue,628= Cross-River , 629= Delta,630= Ebonyi,631= Edo,632= Ekiti,633= Enugu,634= FCT,635= Gombe,636= Imo,637= Jigawa,638= Kaduna,639= Kano,640= Katsina,641= Kebbi,642= Kogi,643= Kwara,644= Lagos,645= Nasarawa,646= Niger,647= Ogun,648= Ondo,649= Osun,650= Oyo,651= Plateau,652= Rivers,653= Sokoto,654= Taraba,656= Zamfara,660= Dakar,661= Diourbel,662= Fatick,663= Kaffrine,664= Kaolack,665= Kédougou , 666= Kolda,667= Louga,668= Matam,669= Saint-Louis,670= Sédhiou,671= Tambacounda,672= Thies,673= Ziguinchor, 700= Eastern Cape,701= Free State,702= Gauteng,703= Kwazulu Natal,704= Limpopo,705= Mpumalanga,706= North West,707= Northern Cape,708= Western Cape, 740= Dodoma,741= Arusha,742= Kilimanjaro,743= Tanga,744= Morogoro,745= Pwani,746= Dar es Salaam,747= Lindi,748= Mrwara,749= Ruvuma,750= Iringa,751= Mbeya,752= Singida,753= Tabora,754= Rukwa,755= Kigoma,756= Shinyanga,757= Kagera,758= Mwanza,759= Mara,760= Manyara,761= Unguja Kaskazini,762= Unfuja Kusini,763= Mjini Magharibi,764= Pemba Kaskazini,765= Pemba Kusini,766= Geita,767= Katavi,768= Njombe,769= Simiyu, 780= Central, 781= West,782= North,783= East,784= Kampala, 820= Lusaka,821= Central,822= Copperbelt,823= Eastern,824= Luapula,825= Northern,826= North-Western,827= Southern,828= Western,829= Muchinga, 860= Harare,861= Bulawayo,862= Midlands,863= Masvingo,864= Mashonaland East,865= Mashonaland West,866= Mashonaland Central,867= Matebeleland South,868= Matebeleland North,869= Manicaland, 900= Port Louis,901= Pamplemousses,902= Riviere du Rempart,903= Flacq,904= Grand Port,905= Savanne,906= Savanne,907= Moka,908= Black River,909= Rodrigues,930= East, 931= North,932= South,933= Western, 1100= Agadez,1102= Dosso,1103= Maradi,1104= Tahoua,1105= Tillabéri,1106= Zinder,1107= Niamey, 1140= Lome Commune,1141= Maritime,1142= Plateaux,1143= Centrale,1144= Kara,1145= Savanes, 1180= Bubanza,1181= Bujumbura,1182= Bujumbura Marie,1183= Bururi,1184= Cankuza,1185= Cibitoke,1186= Gitega,1187= Karusi,1188= Kayanza,1189= Kirundo,1190= Makamba,1191= Muramvya,1192= Muyinga,1193= Mwaro,1194= Ngozi,1195= Rutana,1196= Ruyiga, 1220= Centre-Yaoundé,1221= LittoralDouala,1222= Adamaoua,1223= Centre,1224= Est,1225= Extrême-Nord,1226= Littoral,1227= Nord,1228= Nord-Ouest,1229= Ouest,1230= Sud,1231= Sud-Ouest, 1260= Abidjan,1261= Agneby-Tiassa,1262= Bafing,1263= Bagoué,1264= Bélier,1265= Béré,1266= Bounkani,1267= Cavally,1269= Gbékè,1270= Gboklè,1271= Gôh,1272= Gontougo,1273= Grands Ponts,1274= Guémon,1275= Hambol,1276= Haut Sassandra,1277= Iffou ,1278= Indenié-Djuablin,1279= Kabadougou,1280= La Mé,1281= Lôh-Djiboua,1282= Marahoué,1283= Moronou,1284= Nawa,1285= N'Zi,1286= Poro,1287= San Pedro,1288= Sud Comoé,1289= Tchologo,1290= Tonkpi,1291= Worodougou, 1300= Conakry,1301= Boké,1302= Kindia,1303= Mamou , 1304= Labé,1305= Labé,1306= Kankan,1307= NZerekoré,1420= North Eastern Region,1421= North Middle Region,1422= North Western Region,1423= East Highlands,1424= Middle Highlands,1425= Western Highlands,1426= South Eastern Region,1428= South Western Region, 1460= Cairo,1461= Alexandria,1462= Port Said,1463= Suez,1464= Damietta,1465= Dakahlia,1466= Charqia,1467= Qalyubia,1468= Kafr elSheikh,1469= Gharbia,1470= Monufia,1471= Beheira,1472= Ismailia,1473= Giza,1474= Beni Souif,1475= El Feyoum,1476= El Menya,1477= Assyout,1478= Souhag,1479= Qena,1480= Luxor,1481= Aswan,1482= Red Sea,1483= Matrouh,, 1500= Oued Ed-Dahab-Lagouira,1501= Laayoune-Boujdour-Sakia El Hamra,1502= Guelmim-Es-Semara,1503= Souss-Massa-Drâa,1504= Gharb-Chrarda-Beni-Hssen,1505= ChaouiaOuardigha,1506= Marrakech-Tensift-Al-Haouz,1507= Oriental,1508= Grand Casablanca,1509= Rabat-SaléZemmour-Zaer,1510= Doukkala-Abda,1511= Tadla-Azilal,1512= Meknès-Tafilalet,1513= Fès-Bouleman,1514= Taza-Al Hoceima-Taounate,1515= Tanger-Tétouan, 1540= North,1541= East,1542= Khartoum,1543= Central,1544= Kurdufan,1545= Darfur, 1580= Tunis,1581= Ariana,1582= Manouba,1583= Ben Arous,1584= Sfax,1585= Sousse,1586= Nabeul 1587= Bizerte ,1588= Zaghouan,1589= Sidi Bouzid,1590= Le Kef,1591= Kasserine,1592= Jendouba,1593= Bèja,1594= Siliana,1595= Kairouan,1596= Monastir,1597= Mahdia,1598= Medenine,1599= Tataouine,1600= Gafsa,1601= Gabès,1602= Tozeur,1603= Kébili,1620= Hhohho,1621= Manzini,1622= Shiselweni,1623= Lubombo,1660= Sao Tome,1661= Principe,1700= Estuaire,1701= HautOgooué,1702= Moyen-Ogooué,1703= Ngounié,1704= Nyanga,1705= Ogooué-Ivindo,1706= OgoouéLolo,1707= Ogooué-Maritime,1708= Woleu-Ntem,",,Answered by interviewer
6,EA_SVC_A,5,Are the following services present in the primary sampling unit/enumeration area: Electricity grid that most houses could access?,EA-SVC-A. Electricity grid in the PSU/EA,"0, 1, 9, -1","0=No, 1=Yes, 9=Can’t determine, -1=Missing",SAB,Question was filled in conjunction with field supervisor
6,EA_SVC_B,5,Are the following services present in the primary sampling unit/enumeration area: Piped water system that most houses could access?,EA-SVC-B. Piped water system in the PSU/EA,"0, 1, 9, -1","0=No, 1=Yes, 9=Can’t determine, -1=Missing",SAB,Question was filled in conjunction with field supervisor
6,EA_SVC_C,5,Are the following services present in the primary sampling unit/enumeration area: Sewage system that most houses could access?,EA-SVC-C. Sewage system in the PSU/EA,"0, 1, 9, -1","0=No, 1=Yes, 9=Can’t determine, -1=Missing",SAB,Question was filled in conjunction with field supervisor
6,EA_SVC_D,5,Are the following services present in the primary sampling unit/enumeration area: Cell phone service?,EA-SVC-D. Cell phone service in the PSU/EA,"0, 1, 9, -1","0=No, 1=Yes, 9=Can’t determine, -1=Missing",SAB,Question was filled in conjunction with field supervisor
