canonical_code,round_number,asked_all_countries,countries_excluded
trust_police,6,TRUE,
trust_courts,6,TRUE,
corruption_govt_officials,6,TRUE,
govt_perf_economy,6,FALSE,Sudan
urban_rural,6,TRUE,
age,6,TRUE,
gender,6,TRUE,
education_level,6,TRUE,
trust_tax_authority,6,TRUE,
corruption_tax_officials,6,TRUE,
lp_food,6,TRUE,
lp_water,6,TRUE,
lp_medical,6,TRUE,
lp_fuel,6,TRUE,
lp_cash,6,TRUE,
trust_police,7,TRUE,
trust_courts,7,TRUE,
corruption_govt_officials,7,TRUE,
govt_perf_economy,7,TRUE,
urban_rural,7,TRUE,
age,7,TRUE,
gender,7,TRUE,
education_level,7,TRUE,
lp_food,7,TRUE,
lp_water,7,TRUE,
lp_medical,7,TRUE,
lp_fuel,7,TRUE,
lp_cash,7,TRUE,
trust_police,8,TRUE,
trust_courts,8,TRUE,
corruption_govt_officials,8,TRUE,
govt_perf_economy,8,TRUE,
urban_rural,8,TRUE,
age,8,TRUE,
gender,8,TRUE,
education_level,8,TRUE,
trust_tax_authority,8,TRUE,
corruption_tax_officials,8,TRUE,
lp_food,8,TRUE,
lp_water,8,TRUE,
lp_medical,8,TRUE,
lp_fuel,8,TRUE,
lp_cash,8,TRUE,
trust_police,9,TRUE,
trust_courts,9,TRUE,
corruption_govt_officials,9,TRUE,
govt_perf_economy,9,TRUE,
urban_rural,9,TRUE,
age,9,TRUE,
gender,9,TRUE,
education_level,9,TRUE,
corruption_tax_officials,9,TRUE,
lp_food,9,TRUE,
lp_water,9,TRUE,
lp_medical,9,TRUE,
lp_fuel,9,TRUE,
lp_cash,9,TRUE,
